strategy,Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Expectancy,Exposure Time [%]
smacrossstrategy,,,,7.142857142857142,-1.1533042699926257,
smacrossstrategy,,,,0.0,-0.4033365358541619,
smacrossstrategy,,,,4.761904761904762,-0.3679436483107821,
smacrossstrategy,,,,4.166666666666666,-0.7049250403535676,
smacrossstrategy,,,,4.3478260869565215,-0.4114388063371084,
smacrossstrategy,,,,8.695652173913043,-0.4217203926676757,
smacrossstrategy,,,,19.047619047619047,-0.293834412993784,
smacrossstrategy,,,,3.333333333333333,-0.4531783803785223,
smacrossstrategy,,,,11.11111111111111,-0.3075055681515792,
smacrossstrategy,,,,0.0,-0.2953389412684564,
smacrossstrategy,,,,4.761904761904762,-0.4054026202403289,
smacrossstrategy,,,,4.545454545454546,-0.3326180166507856,
smacrossstrategy,,,,6.666666666666667,-0.3557187276411515,
smacrossstrategy,,,,5.555555555555555,-0.3909909897574377,
smacrossstrategy,,,,7.142857142857142,-0.3932082528295517,
smacrossstrategy,,,,16.666666666666664,-0.3471532117263762,
smacrossstrategy,-7.593519151330407,-76.6177196902984,9.203968307765209,,,
